"V1" "V2"
"STP1" "YBR089W"
"STP1" "YBR093C"
"STP1" "YBR099C"
"STP1" "YBR101C"
"STP1" "YBR105C"
"STP1" "YBR110W"
"STP1" "YBR126C"
"STP1" "YBR129C"
"STP1" "YBR131W"
"STP1" "YBR135W"
"STP1" "YBR137W"
"STP1" "YBR149W"
"STP1" "YBR160W"
"STP1" "YBR187W"
"STP1" "YBR201W"
"STP1" "YBR207W"
"STP1" "YBR211C"
"STP1" "YBR230C"
"STP1" "YBR240C"
"STP1" "YBR244W"
"STP1" "YBR264C"
"STP1" "YBR265W"
"STP1" "YBR287W"
"STP1" "YBR296C"
"STP1" "YBR297W"
"STP1" "YBR302C"
"STP1" "YCL064C"
"STP1" "YCL042W"
"STP1" "YCL040W"
"STP1" "YCL035C"
"STP1" "YCL030C"
"STP1" "YCL026C-A"
"STP1" "YCL025C"
"STP1" "YCR009C"
"STP1" "YCR020C"
"STP1" "YCR021C"
"STP1" "YCR023C"
"STP1" "YCR089W"
"STP1" "YCR106W"
"STP1" "YDL241W"
"STP1" "YDL234C"
"STP1" "YDL227C"
"STP1" "YDL222C"
"STP1" "YDL215C"
"STP1" "YDL210W"
"STP1" "YDL205C"
"STP1" "YDL199C"
"STP1" "YDL196W"
"STP1" "YDL162C"
"STP1" "YDL128W"
"STP1" "YDL124W"
"STP1" "YDL120W"
"STP1" "YDL072C"
"STP1" "YDL070W"
"STP1" "YDL039C"
"STP1" "YDL038C"
"STP1" "YDL023C"
"STP1" "YDL022W"
"STP1" "YDL012C"
"STP1" "YDR013W"
"STP1" "YDR019C"
"STP1" "YDR034C"
"STP1" "YDR038C"
"STP1" "YDR042C"
"STP1" "YDR043C"
"STP1" "YDR044W"
"STP1" "YDR046C"
"STP1" "YDR047W"
"STP1" "YDR070C"
"STP1" "YDR072C"
"STP1" "YDR075W"
"STP1" "YDR077W"
"STP1" "YDR098C"
"STP1" "YDR105C"
"STP1" "YDR111C"
"STP1" "YDR112W"
"STP1" "YDR122W"
"STP1" "YDR146C"
"STP1" "YDR160W"
"STP1" "YDR171W"
"STP1" "YDR174W"
"STP1" "YDR205W"
"STP1" "YDR207C"
"STP1" "YDR209C"
"STP1" "YDR210W"
"STP1" "YDR222W"
"STP1" "YDR224C"
"STP1" "YDR225W"
"STP1" "YDR242W"
"STP1" "YDR264C"
"STP1" "YDR270W"
"STP1" "YDR281C"
"STP1" "YDR282C"
"STP1" "YDR284C"
"STP1" "YDR286C"
"STP1" "YDR297W"
"STP1" "YDR309C"
"STP1" "YDR315C"
"STP1" "YDR319C"
"STP1" "YDR344C"
"STP1" "YDR345C"
"STP1" "YDR366C"
"STP1" "YDR380W"
"STP1" "YDR384C"
"STP1" "YDR411C"
"STP1" "YDR463W"
"STP1" "YDR481C"
"STP1" "YDR482C"
"STP1" "YDR502C"
"STP1" "YDR508C"
"STP1" "YDR516C"
"STP1" "YDR518W"
"STP1" "YDR531W"
"STP1" "YDR534C"
"STP1" "YDR540C"
"STP1" "YEL066W"
"STP1" "YEL065W"
"STP1" "YEL060C"
"STP1" "YEL046C"
"STP1" "YEL038W"
