"","Name","ORF","SGD"
"1","MIN8","YPR010C.A","YPR010C-A"
"2","YPR170W-B","YPR170W.B","YPR170W-B"
"3","KSH1","YNL024C.A","YNL024C-A"
"4","DPC13","YGL041W.A","YGL041W-A"
"5","YFR034W-A","YFR034W.A","YFR034W-A"
"6","YDR524C-B","YDR524C.B","YDR524C-B"
"7","VMA9","YCL005W.A","YCL005W-A"
"8","TSC3","YBR058C.A","YBR058C-A"
"9","SMP1","YBR182C","YBR182C"
"10","KAR4","YCL055W","YCL055W"
"11","HCM1","YCR065W","YCR065W"
"12","RDS1","YCR106W","YCR106W"
"13","UGA3","YDL170W","YDL170W"
"14","PHO2","YDL106C","YDL106C"
"15","MBP1","YDL056W","YDL056W"
"16","RPN4","YDL020C","YDL020C"
"17","NRG1","YDR043C","YDR043C"
"18","GIS1","YDR096W","YDR096W"
"19","INO2","YDR123C","YDR123C"
"20","SWI5","YDR146C","YDR146C"
"21","UME6","YDR207C","YDR207C"
"22","UPC2","YDR213W","YDR213W"
"23","ADR1","YDR216W","YDR216W"
"24","MET32","YDR253C","YDR253C"
"25","SUM1","YDR310C","YDR310C"
"26","CAD1","YDR423C","YDR423C"
"27","STP1","YDR463W","YDR463W"
"28","GCN4","YEL009C","YEL009C"
"29","MIG3","YER028C","YER028C"
"30","GLN3","YER040W","YER040W"
"31","ACA1","YER045C","YER045C"
"32","MOT2","YER068W","YER068W"
"33","FLO8","YER109C","YER109C"
"34","SWI4","YER111C","YER111C"
"35","COM2","YER130C","YER130C"
"36","RPH1","YER169W","YER169W"
"37","ZNF1","YFL052W","YFL052W"
"38","HAC1","YFL031W","YFL031W"
"39","GAT1","YFL021W","YFL021W"
"40","PHO4","YFR034C","YFR034C"
"41","FZF1","YGL254W","YGL254W"
"42","HAP2","YGL237C","YGL237C"
"43","MIG2","YGL209W","YGL209W"
"44","CUP2","YGL166W","YGL166W"
"45","HSF1","YGL073W","YGL073W"
"46","AFT1","YGL071W","YGL071W"
"47","MIG1","YGL035C","YGL035C"
"48","PDR1","YGL013C","YGL013C"
"49","RME1","YGR044C","YGR044C"
"50","RIM101","YHL027W","YHL027W"
"51","YAP3","YHL009C","YHL009C"
"52","STP2","YHR006W","YHR006W"
"53","STE12","YHR084W","YHR084W"
"54","NDT80","YHR124W","YHR124W"
"55","STB5","YHR178W","YHR178W"
"56","SKN7","YHR206W","YHR206W"
"57","FKH1","YIL131C","YIL131C"
"58","XBP1","YIL101C","YIL101C"
"59","CST6","YIL036W","YIL036W"
"60","YAP5","YIR018W","YIR018W"
"61","DAL81","YIR023W","YIR023W"
"62","GZF3","YJL110C","YJL110C"
"63","GSM1","YJL103C","YJL103C"
"64","CBF1","YJR060W","YJR060W"
"65","IME1","YJR094C","YJR094C"
"66","ASH1","YKL185W","YKL185W"
"67","ABF1","YKL112W","YKL112W"
"68","HAP4","YKL109W","YKL109W"
"69","MSN4","YKL062W","YKL062W"
"70","RGT1","YKL038W","YKL038W"
"71","IXR1","YKL032C","YKL032C"
"72","PUT3","YKL015W","YKL015W"
"73","DAL80","YKR034W","YKR034W"
"74","BAS1","YKR099W","YKR099W"
"75","PPR1","YLR014C","YLR014C"
"76","CHA4","YLR098C","YLR098C"
"77","ACE2","YLR131C","YLR131C"
"78","RFX1","YLR176C","YLR176C"
"79","ECM22","YLR228C","YLR228C"
"80","HAP1","YLR256W","YLR256W"
"81","PDR8","YLR266C","YLR266C"
"82","LEU3","YLR451W","YLR451W"
"83","ARG81","YML099C","YML099C"
"84","TDA9","YML081W","YML081W"
"85","WAR1","YML076C","YML076C"
"86","YAP1","YML007W","YML007W"
"87","STB4","YMR019W","YMR019W"
"88","MAC1","YMR021C","YMR021C"
"89","MSN2","YMR037C","YMR037C"
"90","ARG80","YMR042W","YMR042W"
"91","MCM1","YMR043W","YMR043W"
"92","MOT3","YMR070W","YMR070W"
"93","MSS11","YMR164C","YMR164C"
"94","HOT1","YMR172W","YMR172W"
"95","CAT8","YMR280C","YMR280C"
"96","DAL82","YNL314W","YNL314W"
"97","RAP1","YNL216W","YNL216W"
"98","SKO1","YNL167C","YNL167C"
"99","MET4","YNL103W","YNL103W"
"100","FKH2","YNL068C","YNL068C"
"101","CRZ1","YNL027W","YNL027W"
"102","INO4","YOL108C","YOL108C"
"103","RTG1","YOL067C","YOL067C"
"104","CIN5","YOR028C","YOR028C"
"105","AZF1","YOR113W","YOR113W"
"106","SFL1","YOR140W","YOR140W"
"107","YRR1","YOR162C","YOR162C"
"108","TYE7","YOR344C","YOR344C"
"109","HAP5","YOR358W","YOR358W"
"110","PIP2","YOR363C","YOR363C"
"111","GAL4","YPL248C","YPL248C"
"112","USV1","YPL230W","YPL230W"
"113","AFT2","YPL202C","YPL202C"
"114","RLM1","YPL089C","YPL089C"
"115","GCR1","YPL075W","YPL075W"
"116","MET31","YPL038W","YPL038W"
"117","HAA1","YPR008W","YPR008W"
"118","ROX1","YPR065W","YPR065W"
"119","ARR1","YPR199C","YPR199C"
"120","OAF1","YAL051W","YAL051W"
"121","RTG3","YBL103C","YBL103C"
"122","HAP3","YBL021C","YBL021C"
"123","PDR3","YBL005W","YBL005W"
"124","REB1","YBR049C","YBR049C"
"125","NRG2","YBR066C","YBR066C"
"126","TEC1","YBR083W","YBR083W"
"127","SIP4","YJL089W","YJL089W"
"128","ZAP1","YJL056C","YJL056C"
"129","ICS2","YBR157C","YBR157C"
"130","SRB6","YBR253W","YBR253W"
"131","SSB1","YDL229W","YDL229W"
"132","PPH22","YDL188C","YDL188C"
"133","TMS1","YDR105C","YDR105C"
"134","AKR1","YDR264C","YDR264C"
"135","PHM6","YDR281C","YDR281C"
"136","TLG1","YDR468C","YDR468C"
"137","VTC1","YER072W","YER072W"
"138","PTC2","YER089C","YER089C"
"139","CGR1","YGL029W","YGL029W"
"140","STF2","YGR008C","YGR008C"
"141","YGR035C","YGR035C","YGR035C"
"142","ESP1","YGR098C","YGR098C"
"143","YGR126W","YGR126W","YGR126W"
"144","PAU12","YGR294W","YGR294W"
"145","YRF1-3","YGR296W","YGR296W"
"146","YLF2","YHL014C","YHL014C"
"147","CPR2","YHR057C","YHR057C"
"148","SPL2","YHR136C","YHR136C"
"149","FYV10","YIL097W","YIL097W"
"150","YJR146W","YJR146W","YJR146W"
"151","PXA2","YKL188C","YKL188C"
"152","SDH1","YKL148C","YKL148C"
"153","CWP1","YKL096W","YKL096W"
"154","UBI4","YLL039C","YLL039C"
"155","FRE1","YLR214W","YLR214W"
"156","TOP3","YLR234W","YLR234W"
"157","YLR326W","YLR326W","YLR326W"
"158","RCH1","YMR034C","YMR034C"
"159","ARA2","YMR041C","YMR041C"
"160","FET3","YMR058W","YMR058W"
"161","REC114","YMR133W","YMR133W"
"162","GTO3","YMR251W","YMR251W"
"163","WHI3","YNL197C","YNL197C"
"164","PGA2","YNL149C","YNL149C"
"165","HOL1","YNR055C","YNR055C"
"166","YNR065C","YNR065C","YNR065C"
"167","MCH4","YOL119C","YOL119C"
"168","MTR10","YOR160W","YOR160W"
"169","DFR1","YOR236W","YOR236W"
"170","ERR1","YOR393W","YOR393W"
"171","ELC1","YPL046C","YPL046C"
"172","SWI1","YPL016W","YPL016W"
"173","MAK3","YPR051W","YPR051W"
"174","YPR092W","YPR092W","YPR092W"
"175","KRE6","YPR159W","YPR159W"
"176","YAL045C","YAL045C","YAL045C"
"177","YAR062W","YAR062W","YAR062W"
"178","SRO77","YBL106C","YBL106C"
"179","MRX3","YBL095W","YBL095W"
"180","ROX3","YBL093C","YBL093C"
"181","SCS22","YBL091C.A","YBL091C-A"
"182","CHS3","YBR023C","YBR023C"
"183","PDX3","YBR035C","YBR035C"
"184","YBR053C","YBR053C","YBR053C"
"185","YBR062C","YBR062C","YBR062C"
"186","LOG1","YJL055W","YJL055W"
"187","SEO1","YAL067C","YAL067C"
"188","YBR089W","YBR089W","YBR089W"
"189","YBR090C","YBR090C","YBR090C"
"190","PHO5","YBR093C","YBR093C"
"191","YBR113W","YBR113W","YBR113W"
"192","TEF2","YBR118W","YBR118W"
"193","ADH5","YBR145W","YBR145W"
"194","RTC2","YBR147W","YBR147W"
"195","TBS1","YBR150C","YBR150C"
"196","SEC66","YBR171W","YBR171W"
"197","GDT1","YBR187W","YBR187W"
"198","YBR209W","YBR209W","YBR209W"
"199","TSC10","YBR265W","YBR265W"
"200","SSH1","YBR283C","YBR283C"
"201","HMLALPHA1","YCL066W","YCL066W"
"202","YCL065W","YCL065W","YCL065W"
"203","PEX34","YCL056C","YCL056C"
"204","SPB1","YCL054W","YCL054W"
"205","ATG22","YCL038C","YCL038C"
"206","FUS1","YCL027W","YCL027W"
"207","LEU2","YCL018W","YCL018W"
"208","NFS1","YCL017C","YCL017C"
"209","ILV6","YCL009C","YCL009C"
"210","YC1W-A","YCL001W.A","YCL001W-A"
"211","YCR013C","YCR013C","YCR013C"
"212","MATALPHA1","YCR040W","YCR040W"
"213","YCR050C","YCR050C","YCR050C"
"214","YIH1","YCR059C","YCR059C"
"215","YCR064C","YCR064C","YCR064C"
"216","SOL2","YCR073W.A","YCR073W-A"
"217","FIG2","YCR089W","YCR089W"
"218","HMRA1","YCR097W","YCR097W"
"219","YCR097W-A","YCR097W.A","YCR097W-A"
"220","COS7","YDL248W","YDL248W"
"221","MPH2","YDL247W","YDL247W"
"222","YDL242W","YDL242W","YDL242W"
"223","HO","YDL227C","YDL227C"
"224","YDL196W","YDL196W","YDL196W"
"225","RPL35A","YDL191W","YDL191W"
"226","RPL41A","YDL184C","YDL184C"
"227","CMR1","YDL156W","YDL156W"
"228","RPL35B","YDL136W","YDL136W"
"229","RPL41B","YDL133C.A","YDL133C-A"
"230","VCX1","YDL128W","YDL128W"
"231","YDL094C","YDL094C","YDL094C"
"232","RPP1A","YDL081C","YDL081C"
"233","RPL31A","YDL075W","YDL075W"
"234","YDL062W","YDL062W","YDL062W"
"235","RPS29B","YDL061C","YDL061C"
"236","USO1","YDL058W","YDL058W"
"237","PRM7","YDL039C","YDL039C"
"238","ARP2","YDL029W","YDL029W"
"239","NOP1","YDL014W","YDL014W"
"240","HEM13","YDR044W","YDR044W"
"241","EMC10","YDR056C","YDR056C"
"242","SED1","YDR077W","YDR077W"
"243","SSS1","YDR086C","YDR086C"
"244","YDR102C","YDR102C","YDR102C"
"245","TMN2","YDR107C","YDR107C"
"246","ECM18","YDR125C","YDR125C"
"247","VPS61","YDR136C","YDR136C"
"248","YDR222W","YDR222W","YDR222W"
"249","HTB1","YDR224C","YDR224C"
"250","GIC2","YDR309C","YDR309C"
"251","TIM11","YDR322C.A","YDR322C-A"
"252","YDR344C","YDR344C","YDR344C"
"253","ESF1","YDR365C","YDR365C"
"254","YDR391C","YDR391C","YDR391C"
"255","ARO80","YDR421W","YDR421W"
"256","YDR442W","YDR442W","YDR442W"
"257","ECM11","YDR446W","YDR446W"
"258","GUK1","YDR454C","YDR454C"
"259","YDR455C","YDR455C","YDR455C"
"260","MFA1","YDR461W","YDR461W"
"261","UGO1","YDR470C","YDR470C"
"262","RPL27B","YDR471W","YDR471W"
"263","SAM2","YDR502C","YDR502C"
"264","YDR541C","YDR541C","YDR541C"
