,Gene,CompareType
0,YBR089W,Single
1,YBR093C,Single
2,YBR099C,Single
3,YBR101C,Single
4,YBR105C,Single
5,YBR110W,Double
6,YBR126C,Single
7,YBR129C,Single
8,YBR131W,Single
9,YBR135W,Single
10,YBR137W,Double
11,YBR149W,Double
12,YBR160W,Single
13,YBR187W,Single
14,YBR201W,Double
15,YBR207W,Single
16,YBR211C,Single
17,YBR230C,Single
18,YBR240C,Double
19,YBR244W,Single
20,YBR264C,Single
21,YBR265W,Single
22,YBR287W,Single
23,YBR296C,DoubleSingle
24,YBR297W,DoubleSingle
25,YBR302C,Single
26,YCL064C,Single
27,YCL042W,Double
28,YCL040W,DoubleSingle
29,YCL035C,Single
30,YCL030C,Single
31,YCL026C-A,Double
32,YCL025C,Double
33,YCR009C,Single
34,YCR020C,Double
35,YCR021C,Single
36,YCR023C,Single
37,YCR089W,Double
38,YCR106W,Double
39,YDL241W,DoubleSingle
40,YDL234C,Double
41,YDL227C,Double
42,YDL222C,Double
43,YDL215C,Double
44,YDL210W,Double
45,YDL205C,Double
46,YDL199C,Double
47,YDL196W,Single
48,YDL162C,Single
49,YDL128W,Single
50,YDL124W,Double
51,YDL120W,Single
52,YDL072C,Single
53,YDL070W,Single
54,YDL039C,Double
56,YDL023C,Single
57,YDL022W,Single
58,YDL012C,Single
59,YDR013W,Single
60,YDR019C,Single
61,YDR034C,Double
62,YDR038C,Double
63,YDR042C,Double
64,YDR043C,Double
65,YDR044W,Single
66,YDR046C,Double
67,YDR047W,Single
68,YDR070C,Double
69,YDR072C,Single
70,YDR075W,Single
71,YDR077W,Single
72,YDR098C,Single
73,YDR105C,Single
74,YDR111C,Single
75,YDR112W,Single
76,YDR122W,Single
77,YDR146C,Single
78,YDR160W,Single
79,YDR171W,DoubleSingle
80,YDR174W,Single
81,YDR205W,Double
82,YDR207C,Single
83,YDR209C,Single
84,YDR210W,Double
85,YDR222W,Single
86,YDR224C,Single
87,YDR225W,Single
88,YDR242W,Double
89,YDR264C,Single
90,YDR270W,Single
91,YDR281C,Single
92,YDR282C,Single
93,YDR284C,Single
94,YDR286C,Single
95,YDR297W,Single
96,YDR309C,Single
97,YDR315C,Double
98,YDR319C,Single
99,YDR344C,Single
100,YDR345C,Single
101,YDR366C,Double
102,YDR380W,Double
103,YDR384C,Double
104,YDR411C,Single
105,YDR463W,Single
106,YDR481C,Single
107,YDR482C,Single
108,YDR502C,Single
109,YDR508C,Double
110,YDR516C,Single
111,YDR518W,Double
112,YDR531W,Single
113,YDR534C,Single
114,YDR540C,Double
115,YEL066W,Double
116,YEL065W,Single
117,YEL060C,DoubleSingle
118,YEL046C,Single
119,YEL038W,Single
120,YEL009C,Single
121,YER011W,Single
122,YER015W,Double
123,YER028C,Single
124,YER029C,Single
125,YER035W,DoubleSingle
126,YER037W,Double
127,YER042W,Single
128,YER052C,Single
129,YER057C,Single
130,YER060W,Double
131,YER064C,Single
132,YER073W,Single
133,YER091C,Single
134,YER120W,Single
135,YER121W,Double
136,YER150W,Double
137,YER156C,Single
138,YER157W,Single
139,YER175C,Double
140,YER185W,Double
141,YFL062W,Single
142,YFL052W,Single
143,YFL048C,Single
144,YFL045C,Single
145,YFL036W,Single
146,YFL015C,Single
147,YFR001W,Double
148,YFR016C,Single
149,YFR026C,Double
150,YFR030W,DoubleSingle
151,YFR032C,Double
152,YFR032C-A,Single
153,YFR033C,Single
154,YFR035C,Single
155,YFR046C,Single
156,YGL263W,Double
157,YGL255W,Single
158,YGL225W,Single
159,YGL184C,Single
160,YGL166W,DoubleSingle
161,YGL156W,Double
162,YGL121C,Double
163,YGL087C,Single
164,YGL085W,Single
165,YGL080W,Single
166,YGL062W,Single
167,YGL039W,Single
168,YGL038C,Single
169,YGL037C,Single
170,YGL032C,Double
171,YGL009C,Single
172,YGR008C,DoubleSingle
173,YGR012W,Single
174,YGR020C,Single
175,YGR032W,Double
176,YGR033C,Single
177,YGR038W,Single
178,YGR039W,Double
179,YGR043C,Double
180,YGR049W,Single
181,YGR055W,DoubleSingle
182,YGR065C,Double
183,YGR086C,Single
184,YGR087C,Double
185,YGR103W,Double
186,YGR108W,Single
187,YGR109C,Double
188,YGR110W,Double
189,YGR123C,Double
190,YGR134W,Single
191,YGR136W,Single
192,YGR137W,Single
193,YGR138C,Single
194,YGR146C,Double
195,YGR151C,Single
196,YGR155W,Single
197,YGR157W,Single
198,YGR160W,Double
199,YGR161C,DoubleSingle
200,YGR195W,Single
201,YGR213C,Double
202,YGR219W,Single
203,YGR221C,Double
204,YGR234W,Single
205,YGR235C,Single
206,YGR248W,Double
207,YGR256W,Double
208,YGR278W,Single
209,YGR295C,Single
210,YHL050C,Double
211,YHL047C,Single
212,YHL040C,Single
213,YHL035C,Single
214,YHL021C,Double
215,YHR001W,Single
216,YHR007C,Single
217,YHR018C,Single
218,YHR032W,DoubleSingle
219,YHR037W,Single
220,YHR051W,Single
221,YHR053C,Single
222,YHR055C,Single
223,YHR063C,Single
224,YHR066W,Double
225,YHR071W,Single
226,YHR087W,Double
227,YHR096C,Double
228,YHR098C,Double
229,YHR112C,Single
230,YHR122W,Single
231,YHR124W,Double
232,YHR127W,Single
233,YHR135C,Single
234,YHR136C,DoubleSingle
235,YHR137W,Double
236,YHR138C,Double
237,YHR140W,Double
238,YHR146W,Single
239,YHR161C,Double
240,YHR162W,Double
241,YHR195W,Double
242,YHR196W,Double
243,YHR200W,Single
244,YHR208W,Single
245,YHR209W,Double
246,YHR215W,Single
247,YHR217C,Single
248,YIL133C,Double
249,YIL124W,Single
250,YIL123W,Single
251,YIL121W,Single
252,YIL119C,Single
253,YIL118W,Single
254,YIL116W,Single
255,YIL114C,Single
